Name;Größe;Vorname;Nachname;Downloads;Datum;Pfad
images.zip;18043680;Axel;Schaffland;7;"11.01.2022 11:33";images.zip
sheet08.ipynb;42783;Axel;Schaffland;8;"11.01.2022 11:33";sheet08.ipynb
