Name;Größe;Vorname;Nachname;Downloads;Datum;Pfad
images.zip;2300399;Axel;Schaffland;22;"23.11.2021 12:42";images.zip
sheet04.ipynb;37198;Axel;Schaffland;25;"23.11.2021 12:40";sheet04.ipynb
