Name;Größe;Vorname;Nachname;Downloads;Datum;Pfad
images.zip;479324;Ulf;Krumnack;12;"30.11.2021 14:10";images.zip
sheet05.ipynb;30861;Ulf;Krumnack;12;"30.11.2021 14:10";sheet05.ipynb
