Name;Größe;Vorname;Nachname;Downloads;Datum;Pfad
images.zip;3499177;Axel;Schaffland;31;"14.12.2021 11:34";images.zip
sheet07.ipynb;36987;Axel;Schaffland;34;"14.12.2021 11:37";sheet07.ipynb
