Name;Größe;Vorname;Nachname;Downloads;Datum;Pfad
images.zip;2193756;Ulf;Krumnack;15;"16.11.2021 14:24";images.zip
sheet03.ipynb;28399;Ulf;Krumnack;16;"16.11.2021 14:23";sheet03.ipynb
