Name;Größe;Vorname;Nachname;Downloads;Datum;Pfad
images.zip;112316;Ulf;Krumnack;33;"07.12.2021 11:54";images.zip
sheet06.ipynb;33688;Ulf;Krumnack;31;"07.12.2021 11:54";sheet06.ipynb
